Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,4047,Low
i8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,7949,High
M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778,632,Low
X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482,8944,High
i8,2019,Europe,White,Electric,Manual,3.0,35700,96257,4411,Low
i8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539,8252,High
X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078,7291,High
M3,2014,North America,Silver,Hybrid,Manual,3.0,154050,94997,7765,High
M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934,9755,High
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,8635,High
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,1113,Low
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,6273,Low
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,4645,Low
M3,2015,Asia,Red,Hybrid,Manual,2.0,41514,116902,8897,High
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076,9469,High
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,1440,Low
i8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448,Low
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,4091,Low
i8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,3384,Low
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,4926,Low
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,4561,Low
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,8046,High
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,3929,Low
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,7110,High
i3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173,Low
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,5946,Low
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,2913,Low
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,7627,High
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,2155,Low
i8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,7168,High
i3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,8283,High
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,7933,High
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,6782,Low
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,3153,Low
i3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,608,Low
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,3754,Low
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,9762,High
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,9390,High
M3,2016,South America,Grey,Electric,Automatic,3.0,102675,93915,9470,High
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,4935,Low
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,1932,Low
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,8589,High
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289,Low
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748,Low
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,3476,Low
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759,Low
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420,High
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,9797,High
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944,High
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,3140,Low
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,8030,High
i8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,5409,Low
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,4367,Low
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927,1472,Low
i3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,7218,High
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389,Low
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,2775,Low
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601,Low
